model,probe_kind,acc,n
Qwen--Qwen3.5-397B-A17B,original,0.53,300
Qwen--Qwen3.5-397B-A17B,tcf,0.53,300
Qwen--Qwen3.5-397B-A17B,negation,0.3333333333333333,225
Qwen--Qwen3.5-397B-A17B,specificity_drop,0.4268292682926829,164
Qwen--Qwen3.5-397B-A17B,knowledge_only,0.9222614840989399,283
Qwen--Qwen3.5-397B-A17B,halluc_trap,0.45666666666666667,600
Qwen--Qwen3.5-397B-A17B,lr_flip,0.43,300
Qwen--Qwen3.5-397B-A17B,roi_only,0.3020833333333333,192
Qwen--Qwen3.5-397B-A17B,roi_masked,0.0625,192
Qwen--Qwen3.5-9B,original,0.43333333333333335,300
Qwen--Qwen3.5-9B,tcf,0.48,300
Qwen--Qwen3.5-9B,negation,0.28444444444444444,225
Qwen--Qwen3.5-9B,specificity_drop,0.3231707317073171,164
Qwen--Qwen3.5-9B,knowledge_only,0.8445229681978799,283
Qwen--Qwen3.5-9B,halluc_trap,0.37166666666666665,600
Qwen--Qwen3.5-9B,lr_flip,0.34,300
Qwen--Qwen3.5-9B,roi_only,0.19791666666666666,192
Qwen--Qwen3.5-9B,roi_masked,0.07291666666666667,192
claude-haiku-4-5-20251001,original,0.4666666666666667,300
claude-haiku-4-5-20251001,tcf,0.51,300
claude-haiku-4-5-20251001,negation,0.3244444444444444,225
claude-haiku-4-5-20251001,specificity_drop,0.42073170731707316,164
claude-haiku-4-5-20251001,knowledge_only,0.9752650176678446,283
claude-haiku-4-5-20251001,halluc_trap,0.51,600
claude-haiku-4-5-20251001,lr_flip,0.5066666666666667,300
claude-haiku-4-5-20251001,roi_only,0.21354166666666666,192
claude-haiku-4-5-20251001,roi_masked,0.3072916666666667,192
claude-opus-4-7,original,0.7866666666666666,300
claude-opus-4-7,tcf,0.78,300
claude-opus-4-7,negation,0.8311111111111111,225
claude-opus-4-7,specificity_drop,0.7987804878048781,164
claude-opus-4-7,knowledge_only,0.9858657243816255,283
claude-opus-4-7,halluc_trap,0.78,600
claude-opus-4-7,lr_flip,0.7233333333333334,300
claude-opus-4-7,roi_only,0.6458333333333334,192
claude-opus-4-7,roi_masked,0.4166666666666667,192
claude-sonnet-4-6,original,0.6333333333333333,300
claude-sonnet-4-6,tcf,0.6633333333333333,300
claude-sonnet-4-6,negation,0.6088888888888889,225
claude-sonnet-4-6,specificity_drop,0.5670731707317073,164
claude-sonnet-4-6,knowledge_only,0.9787985865724381,283
claude-sonnet-4-6,halluc_trap,0.5866666666666667,600
claude-sonnet-4-6,lr_flip,0.6333333333333333,300
claude-sonnet-4-6,roi_only,0.421875,192
claude-sonnet-4-6,roi_masked,0.23958333333333334,192
deepseek-v4-flash,original,0.04,300
deepseek-v4-flash,tcf,0.043333333333333335,300
deepseek-v4-flash,negation,0.06666666666666667,225
deepseek-v4-flash,specificity_drop,0.04878048780487805,164
deepseek-v4-flash,knowledge_only,0.9929328621908127,283
deepseek-v4-flash,halluc_trap,0.5733333333333334,600
deepseek-v4-flash,lr_flip,0.03333333333333333,300
deepseek-v4-flash,roi_only,0.010416666666666666,192
deepseek-v4-flash,roi_masked,0.875,192
deepseek-v4-pro,original,0.016666666666666666,300
deepseek-v4-pro,tcf,0.05,300
deepseek-v4-pro,negation,0.06222222222222222,225
deepseek-v4-pro,specificity_drop,0.018292682926829267,164
deepseek-v4-pro,knowledge_only,0.9929328621908127,283
deepseek-v4-pro,halluc_trap,0.6216666666666667,600
deepseek-v4-pro,lr_flip,0.02666666666666667,300
deepseek-v4-pro,roi_only,0.010416666666666666,192
deepseek-v4-pro,roi_masked,0.9739583333333334,192
gemini-3-flash-preview,original,0.77,300
gemini-3-flash-preview,tcf,0.8066666666666666,300
gemini-3-flash-preview,negation,0.7555555555555555,225
gemini-3-flash-preview,specificity_drop,0.7621951219512195,164
gemini-3-flash-preview,knowledge_only,0.9893992932862191,283
gemini-3-flash-preview,halluc_trap,0.6283333333333333,600
gemini-3-flash-preview,lr_flip,0.7566666666666667,300
gemini-3-flash-preview,roi_only,0.6927083333333334,192
gemini-3-flash-preview,roi_masked,0.28125,192
gemini-3.1-flash-lite-preview,original,0.73,300
gemini-3.1-flash-lite-preview,tcf,0.7566666666666667,300
gemini-3.1-flash-lite-preview,negation,0.6311111111111111,225
gemini-3.1-flash-lite-preview,specificity_drop,0.7073170731707317,164
gemini-3.1-flash-lite-preview,knowledge_only,0.9893992932862191,283
gemini-3.1-flash-lite-preview,halluc_trap,0.7766666666666666,600
gemini-3.1-flash-lite-preview,lr_flip,0.6966666666666667,300
gemini-3.1-flash-lite-preview,roi_only,0.6302083333333334,192
gemini-3.1-flash-lite-preview,roi_masked,0.13541666666666666,192
gpt-4o,original,0.5933333333333334,300
gpt-4o,tcf,0.6333333333333333,300
gpt-4o,negation,0.4577777777777778,225
gpt-4o,specificity_drop,0.5060975609756098,164
gpt-4o,knowledge_only,0.9858657243816255,283
gpt-4o,halluc_trap,0.47,600
gpt-4o,lr_flip,0.5666666666666667,300
gpt-4o,roi_only,0.40625,192
gpt-4o,roi_masked,0.3697916666666667,192
gpt-5.4-mini,original,0.5533333333333333,300
gpt-5.4-mini,tcf,0.57,300
gpt-5.4-mini,negation,0.4488888888888889,225
gpt-5.4-mini,specificity_drop,0.4695121951219512,164
gpt-5.4-mini,knowledge_only,0.9823321554770318,283
gpt-5.4-mini,halluc_trap,0.5033333333333333,600
gpt-5.4-mini,lr_flip,0.5166666666666667,300
gpt-5.4-mini,roi_only,0.3385416666666667,192
gpt-5.4-mini,roi_masked,0.4270833333333333,192
gpt-5.4-nano,original,0.31666666666666665,300
gpt-5.4-nano,tcf,0.2966666666666667,300
gpt-5.4-nano,negation,0.1688888888888889,225
gpt-5.4-nano,specificity_drop,0.25,164
gpt-5.4-nano,knowledge_only,0.9045936395759717,283
gpt-5.4-nano,halluc_trap,0.48333333333333334,600
gpt-5.4-nano,lr_flip,0.2866666666666667,300
gpt-5.4-nano,roi_only,0.11979166666666667,192
gpt-5.4-nano,roi_masked,0.390625,192
gpt-5.4,original,0.68,300
gpt-5.4,tcf,0.6866666666666666,300
gpt-5.4,negation,0.5644444444444444,225
gpt-5.4,specificity_drop,0.5975609756097561,164
gpt-5.4,knowledge_only,0.9858657243816255,283
gpt-5.4,halluc_trap,0.7116666666666667,600
gpt-5.4,lr_flip,0.61,300
gpt-5.4,roi_only,0.4479166666666667,192
gpt-5.4,roi_masked,0.2916666666666667,192
gpt-5.5,original,0.75,300
gpt-5.5,tcf,0.7433333333333333,300
gpt-5.5,negation,0.6888888888888889,225
gpt-5.5,specificity_drop,0.5975609756097561,164
gpt-5.5,knowledge_only,0.9964664310954063,283
gpt-5.5,halluc_trap,0.6316666666666667,600
gpt-5.5,lr_flip,0.6666666666666666,300
gpt-5.5,roi_only,0.609375,192
gpt-5.5,roi_masked,0.4895833333333333,192
huatuogpt-vision-7b,original,0.5533333333333333,300
huatuogpt-vision-7b,tcf,0.5966666666666667,300
huatuogpt-vision-7b,negation,0.26222222222222225,225
huatuogpt-vision-7b,specificity_drop,0.5121951219512195,164
huatuogpt-vision-7b,knowledge_only,0.9187279151943463,283
huatuogpt-vision-7b,halluc_trap,0.685,600
huatuogpt-vision-7b,lr_flip,0.5333333333333333,300
huatuogpt-vision-7b,roi_only,0.4010416666666667,192
huatuogpt-vision-7b,roi_masked,0.11979166666666667,192
llava-med,original,0.43333333333333335,300
llava-med,tcf,0.5,300
llava-med,negation,0.15555555555555556,225
llava-med,specificity_drop,0.5060975609756098,164
llava-med,knowledge_only,0.7561837455830389,283
llava-med,halluc_trap,0.57,600
llava-med,lr_flip,0.36333333333333334,300
llava-med,roi_only,0.359375,192
llava-med,roi_masked,0.07291666666666667,192
moonshotai--Kimi-K2.5,original,0.49666666666666665,300
moonshotai--Kimi-K2.5,tcf,0.5433333333333333,300
moonshotai--Kimi-K2.5,negation,0.36444444444444446,225
moonshotai--Kimi-K2.5,specificity_drop,0.4146341463414634,164
moonshotai--Kimi-K2.5,knowledge_only,0.950530035335689,283
moonshotai--Kimi-K2.5,halluc_trap,0.4,600
moonshotai--Kimi-K2.5,lr_flip,0.45,300
moonshotai--Kimi-K2.5,roi_only,0.3229166666666667,192
moonshotai--Kimi-K2.5,roi_masked,0.21875,192
moonshotai--Kimi-K2.6,original,0.49333333333333335,300
moonshotai--Kimi-K2.6,tcf,0.4766666666666667,300
moonshotai--Kimi-K2.6,negation,0.36,225
moonshotai--Kimi-K2.6,specificity_drop,0.3780487804878049,164
moonshotai--Kimi-K2.6,knowledge_only,0.9540636042402827,283
moonshotai--Kimi-K2.6,halluc_trap,0.49166666666666664,600
moonshotai--Kimi-K2.6,lr_flip,0.35333333333333333,300
moonshotai--Kimi-K2.6,roi_only,0.21354166666666666,192
moonshotai--Kimi-K2.6,roi_masked,0.234375,192
