model,source_dataset,acc,n
Qwen--Qwen3.5-397B-A17B,cxr,0.4675090252707581,554
Qwen--Qwen3.5-397B-A17B,roco,0.3701067615658363,562
Qwen--Qwen3.5-397B-A17B,slake,0.5786026200873362,458
Qwen--Qwen3.5-397B-A17B,vqa-rad,0.47352342158859473,982
Qwen--Qwen3.5-9B,cxr,0.40613718411552346,554
Qwen--Qwen3.5-9B,roco,0.26868327402135234,562
Qwen--Qwen3.5-9B,slake,0.5131004366812227,458
Qwen--Qwen3.5-9B,vqa-rad,0.40325865580448067,982
claude-haiku-4-5-20251001,cxr,0.48194945848375453,554
claude-haiku-4-5-20251001,roco,0.44661921708185054,562
claude-haiku-4-5-20251001,slake,0.6266375545851528,458
claude-haiku-4-5-20251001,vqa-rad,0.4725050916496945,982
claude-opus-4-7,cxr,0.7978339350180506,554
claude-opus-4-7,roco,0.7953736654804271,562
claude-opus-4-7,slake,0.7379912663755459,458
claude-opus-4-7,vqa-rad,0.7423625254582484,982
claude-sonnet-4-6,cxr,0.5577617328519856,554
claude-sonnet-4-6,roco,0.5925266903914591,562
claude-sonnet-4-6,slake,0.6812227074235808,458
claude-sonnet-4-6,vqa-rad,0.6221995926680245,982
deepseek-v4-flash,cxr,0.33393501805054154,554
deepseek-v4-flash,roco,0.297153024911032,562
deepseek-v4-flash,slake,0.3864628820960699,458
deepseek-v4-flash,vqa-rad,0.329938900203666,982
deepseek-v4-pro,cxr,0.34115523465703973,554
deepseek-v4-pro,roco,0.31316725978647686,562
deepseek-v4-pro,slake,0.38209606986899564,458
deepseek-v4-pro,vqa-rad,0.3543788187372709,982
gemini-3-flash-preview,cxr,0.6877256317689531,554
gemini-3-flash-preview,roco,0.7669039145907474,562
gemini-3-flash-preview,slake,0.74235807860262,458
gemini-3-flash-preview,vqa-rad,0.6995926680244399,982
gemini-3.1-flash-lite-preview,cxr,0.7129963898916968,554
gemini-3.1-flash-lite-preview,roco,0.7135231316725978,562
gemini-3.1-flash-lite-preview,slake,0.7467248908296943,458
gemini-3.1-flash-lite-preview,vqa-rad,0.6802443991853361,982
gpt-4o,cxr,0.5180505415162455,554
gpt-4o,roco,0.5266903914590747,562
gpt-4o,slake,0.6375545851528385,458
gpt-4o,vqa-rad,0.5692464358452138,982
gpt-5.4-mini,cxr,0.5884476534296029,554
gpt-5.4-mini,roco,0.43416370106761565,562
gpt-5.4-mini,slake,0.6528384279475983,458
gpt-5.4-mini,vqa-rad,0.5376782077393075,982
gpt-5.4-nano,cxr,0.42418772563176893,554
gpt-5.4-nano,roco,0.30604982206405695,562
gpt-5.4-nano,slake,0.5043668122270742,458
gpt-5.4-nano,vqa-rad,0.3615071283095723,982
gpt-5.4,cxr,0.6353790613718412,554
gpt-5.4,roco,0.6370106761565836,562
gpt-5.4,slake,0.7117903930131004,458
gpt-5.4,vqa-rad,0.6415478615071283,982
gpt-5.5,cxr,0.7111913357400722,554
gpt-5.5,roco,0.6868327402135231,562
gpt-5.5,slake,0.7248908296943232,458
gpt-5.5,vqa-rad,0.6731160896130346,982
huatuogpt-vision-7b,cxr,0.5992779783393501,554
huatuogpt-vision-7b,roco,0.5747330960854092,562
huatuogpt-vision-7b,slake,0.6048034934497817,458
huatuogpt-vision-7b,vqa-rad,0.4959266802443992,982
llava-med,cxr,0.5306859205776173,554
llava-med,roco,0.5498220640569395,562
llava-med,slake,0.43231441048034935,458
llava-med,vqa-rad,0.3513238289205703,982
moonshotai--Kimi-K2.5,cxr,0.3483754512635379,554
moonshotai--Kimi-K2.5,roco,0.38434163701067614,562
moonshotai--Kimi-K2.5,slake,0.6397379912663755,458
moonshotai--Kimi-K2.5,vqa-rad,0.5173116089613035,982
moonshotai--Kimi-K2.6,cxr,0.33393501805054154,554
moonshotai--Kimi-K2.6,roco,0.3914590747330961,562
moonshotai--Kimi-K2.6,slake,0.5917030567685589,458
moonshotai--Kimi-K2.6,vqa-rad,0.5244399185336049,982
