model,risk_tier,acc,n
Qwen--Qwen3.5-397B-A17B,L1,0.8309859154929577,71
Qwen--Qwen3.5-397B-A17B,L2,0.45161290322580644,31
Qwen--Qwen3.5-397B-A17B,L3,0.4491525423728814,118
Qwen--Qwen3.5-397B-A17B,L4,0.4418604651162791,43
Qwen--Qwen3.5-397B-A17B,L5,0.3783783783783784,37
Qwen--Qwen3.5-9B,L1,0.8028169014084507,71
Qwen--Qwen3.5-9B,L2,0.3225806451612903,31
Qwen--Qwen3.5-9B,L3,0.3559322033898305,118
Qwen--Qwen3.5-9B,L4,0.3488372093023256,43
Qwen--Qwen3.5-9B,L5,0.16216216216216217,37
claude-haiku-4-5-20251001,L1,0.8591549295774648,71
claude-haiku-4-5-20251001,L2,0.3548387096774194,31
claude-haiku-4-5-20251001,L3,0.3813559322033898,118
claude-haiku-4-5-20251001,L4,0.27906976744186046,43
claude-haiku-4-5-20251001,L5,0.2972972972972973,37
claude-opus-4-7,L1,0.9014084507042254,71
claude-opus-4-7,L2,0.6774193548387096,31
claude-opus-4-7,L3,0.8135593220338984,118
claude-opus-4-7,L4,0.6511627906976745,43
claude-opus-4-7,L5,0.7297297297297297,37
claude-sonnet-4-6,L1,0.8450704225352113,71
claude-sonnet-4-6,L2,0.6129032258064516,31
claude-sonnet-4-6,L3,0.6101694915254238,118
claude-sonnet-4-6,L4,0.5116279069767442,43
claude-sonnet-4-6,L5,0.4594594594594595,37
deepseek-v4-flash,L1,0.028169014084507043,71
deepseek-v4-flash,L2,0.12903225806451613,31
deepseek-v4-flash,L3,0.05084745762711865,118
deepseek-v4-flash,L4,0.0,43
deepseek-v4-flash,L5,0.0,37
deepseek-v4-pro,L1,0.028169014084507043,71
deepseek-v4-pro,L2,0.06451612903225806,31
deepseek-v4-pro,L3,0.00847457627118644,118
deepseek-v4-pro,L4,0.0,43
deepseek-v4-pro,L5,0.0,37
gemini-3-flash-preview,L1,0.9014084507042254,71
gemini-3-flash-preview,L2,0.6451612903225806,31
gemini-3-flash-preview,L3,0.7711864406779662,118
gemini-3-flash-preview,L4,0.7674418604651163,43
gemini-3-flash-preview,L5,0.6216216216216216,37
gemini-3.1-flash-lite-preview,L1,0.9014084507042254,71
gemini-3.1-flash-lite-preview,L2,0.5161290322580645,31
gemini-3.1-flash-lite-preview,L3,0.7288135593220338,118
gemini-3.1-flash-lite-preview,L4,0.6511627906976745,43
gemini-3.1-flash-lite-preview,L5,0.6756756756756757,37
gpt-4o,L1,0.8732394366197183,71
gpt-4o,L2,0.5483870967741935,31
gpt-4o,L3,0.5169491525423728,118
gpt-4o,L4,0.3953488372093023,43
gpt-4o,L5,0.5675675675675675,37
gpt-5.4-mini,L1,0.8450704225352113,71
gpt-5.4-mini,L2,0.41935483870967744,31
gpt-5.4-mini,L3,0.5,118
gpt-5.4-mini,L4,0.4418604651162791,43
gpt-5.4-mini,L5,0.40540540540540543,37
gpt-5.4-nano,L1,0.647887323943662,71
gpt-5.4-nano,L2,0.12903225806451613,31
gpt-5.4-nano,L3,0.2542372881355932,118
gpt-5.4-nano,L4,0.11627906976744186,43
gpt-5.4-nano,L5,0.2702702702702703,37
gpt-5.4,L1,0.9014084507042254,71
gpt-5.4,L2,0.4838709677419355,31
gpt-5.4,L3,0.6440677966101694,118
gpt-5.4,L4,0.627906976744186,43
gpt-5.4,L5,0.5945945945945946,37
gpt-5.5,L1,0.9154929577464789,71
gpt-5.5,L2,0.5806451612903226,31
gpt-5.5,L3,0.7288135593220338,118
gpt-5.5,L4,0.6744186046511628,43
gpt-5.5,L5,0.7297297297297297,37
huatuogpt-vision-7b,L1,0.8169014084507042,71
huatuogpt-vision-7b,L2,0.3870967741935484,31
huatuogpt-vision-7b,L3,0.4745762711864407,118
huatuogpt-vision-7b,L4,0.5348837209302325,43
huatuogpt-vision-7b,L5,0.4594594594594595,37
llava-med,L1,0.4507042253521127,71
llava-med,L2,0.1935483870967742,31
llava-med,L3,0.4491525423728814,118
llava-med,L4,0.4883720930232558,43
llava-med,L5,0.4864864864864865,37
moonshotai--Kimi-K2.5,L1,0.8450704225352113,71
moonshotai--Kimi-K2.5,L2,0.4838709677419355,31
moonshotai--Kimi-K2.5,L3,0.3644067796610169,118
moonshotai--Kimi-K2.5,L4,0.46511627906976744,43
moonshotai--Kimi-K2.5,L5,0.2972972972972973,37
moonshotai--Kimi-K2.6,L1,0.8028169014084507,71
moonshotai--Kimi-K2.6,L2,0.45161290322580644,31
moonshotai--Kimi-K2.6,L3,0.4152542372881356,118
moonshotai--Kimi-K2.6,L4,0.37209302325581395,43
moonshotai--Kimi-K2.6,L5,0.32432432432432434,37
