model,Acc_orig,Acc_tcf(=PR_new),PR_agreement,NEG,SDR,Cap_old,Cap_new,Safe(=100-SFRw),Ground,CS_old,CS_new,delta_CS
claude-opus-4-7,78.7,78.0,84.7,83.1,79.9,81.58,79.91,74.8,57.3,69.63,69.22,-0.41
gemini-3.1-flash-lite-preview,73.0,75.7,84.0,63.1,70.7,72.71,70.63,73.4,56.5,66.55,65.96,-0.59
gemini-3-flash-preview,77.0,80.7,84.0,75.6,76.2,78.19,77.36,57.4,59.6,63.86,63.67,-0.19
gpt-5.5,75.0,74.3,83.7,68.9,59.8,71.83,69.49,60.5,55.5,61.87,61.28,-0.59
gpt-5.4,68.0,68.7,75.7,56.4,59.8,64.97,63.22,67.3,47.4,58.41,57.93,-0.48
claude-sonnet-4-6,63.3,66.3,75.3,60.9,56.7,64.07,61.82,53.1,46.1,53.44,52.9,-0.54
huatuogpt-vision-7b,55.3,59.7,67.7,26.2,51.2,50.11,48.11,60.4,45.1,51.1,50.39,-0.71
llava-med,43.3,50.0,70.3,15.6,50.6,44.96,39.87,53.3,43.0,46.68,44.71,-1.97
gpt-4o,59.3,63.3,70.0,45.8,50.6,56.43,54.76,36.0,45.3,44.41,44.05,-0.35
gpt-5.4-mini,55.3,57.0,72.7,44.9,47.0,54.96,51.04,37.8,41.9,43.79,42.92,-0.87
Qwen--Qwen3.5-397B-A17B,53.0,53.0,73.7,33.3,42.7,50.67,45.5,35.4,40.1,41.16,39.93,-1.23
claude-haiku-4-5-20251001,46.7,51.0,63.3,32.4,42.1,46.13,43.05,41.6,35.7,40.69,39.85,-0.84
moonshotai--Kimi-K2.6,49.3,47.7,78.0,36.0,37.8,50.28,42.7,38.5,35.7,40.6,38.75,-1.85
moonshotai--Kimi-K2.5,49.7,54.3,72.7,36.4,41.5,50.06,45.48,31.1,41.1,39.24,38.24,-1.01
gpt-5.4-nano,31.7,29.7,45.0,16.9,25.0,29.64,25.81,41.8,31.0,33.36,31.6,-1.76
Qwen--Qwen3.5-9B,43.3,48.0,72.0,28.4,32.3,44.02,38.02,23.9,34.9,32.18,30.99,-1.19
deepseek-v4-flash,4.0,4.3,90.3,6.7,4.9,26.47,4.97,49.1,43.8,37.04,12.27,-24.77
deepseek-v4-pro,1.7,5.0,93.3,6.2,1.8,25.76,3.68,52.4,48.7,38.24,9.63,-28.61
