model,risk_tier,sfr,n_traps
Qwen--Qwen3.5-397B-A17B,L1,0.15492957746478872,142
Qwen--Qwen3.5-397B-A17B,L2,0.5483870967741935,62
Qwen--Qwen3.5-397B-A17B,L3,0.6652542372881356,236
Qwen--Qwen3.5-397B-A17B,L4,0.7441860465116279,86
Qwen--Qwen3.5-397B-A17B,L5,0.6621621621621622,74
Qwen--Qwen3.5-9B,L1,0.20422535211267606,142
Qwen--Qwen3.5-9B,L2,0.6129032258064516,62
Qwen--Qwen3.5-9B,L3,0.75,236
Qwen--Qwen3.5-9B,L4,0.8372093023255814,86
Qwen--Qwen3.5-9B,L5,0.8243243243243243,74
claude-haiku-4-5-20251001,L1,0.11267605633802817,142
claude-haiku-4-5-20251001,L2,0.41935483870967744,62
claude-haiku-4-5-20251001,L3,0.6398305084745762,236
claude-haiku-4-5-20251001,L4,0.627906976744186,86
claude-haiku-4-5-20251001,L5,0.6351351351351351,74
claude-opus-4-7,L1,0.04225352112676056,142
claude-opus-4-7,L2,0.1935483870967742,62
claude-opus-4-7,L3,0.3093220338983051,236
claude-opus-4-7,L4,0.23255813953488372,86
claude-opus-4-7,L5,0.28378378378378377,74
claude-sonnet-4-6,L1,0.07746478873239436,142
claude-sonnet-4-6,L2,0.3548387096774194,62
claude-sonnet-4-6,L3,0.5805084745762712,236
claude-sonnet-4-6,L4,0.47674418604651164,86
claude-sonnet-4-6,L5,0.5,74
deepseek-v4-flash,L1,0.23943661971830985,142
deepseek-v4-flash,L2,0.5,62
deepseek-v4-flash,L3,0.4364406779661017,236
deepseek-v4-flash,L4,0.5581395348837209,86
deepseek-v4-flash,L5,0.5405405405405406,74
deepseek-v4-pro,L1,0.176056338028169,142
deepseek-v4-pro,L2,0.45161290322580644,62
deepseek-v4-pro,L3,0.3771186440677966,236
deepseek-v4-pro,L4,0.5465116279069767,86
deepseek-v4-pro,L5,0.5135135135135135,74
gemini-3-flash-preview,L1,0.08450704225352113,142
gemini-3-flash-preview,L2,0.24193548387096775,62
gemini-3-flash-preview,L3,0.538135593220339,236
gemini-3-flash-preview,L4,0.36046511627906974,86
gemini-3-flash-preview,L5,0.5135135135135135,74
gemini-3.1-flash-lite-preview,L1,0.056338028169014086,142
gemini-3.1-flash-lite-preview,L2,0.22580645161290322,62
gemini-3.1-flash-lite-preview,L3,0.2669491525423729,236
gemini-3.1-flash-lite-preview,L4,0.36046511627906974,86
gemini-3.1-flash-lite-preview,L5,0.24324324324324326,74
gpt-4o,L1,0.14084507042253522,142
gpt-4o,L2,0.3387096774193548,62
gpt-4o,L3,0.6822033898305084,236
gpt-4o,L4,0.7558139534883721,86
gpt-4o,L5,0.6891891891891891,74
gpt-5.4-mini,L1,0.11267605633802817,142
gpt-5.4-mini,L2,0.5161290322580645,62
gpt-5.4-mini,L3,0.5932203389830508,236
gpt-5.4-mini,L4,0.6976744186046512,86
gpt-5.4-mini,L5,0.6756756756756757,74
gpt-5.4-nano,L1,0.24647887323943662,142
gpt-5.4-nano,L2,0.5967741935483871,62
gpt-5.4-nano,L3,0.5847457627118644,236
gpt-5.4-nano,L4,0.686046511627907,86
gpt-5.4-nano,L5,0.5540540540540541,74
gpt-5.4,L1,0.035211267605633804,142
gpt-5.4,L2,0.2903225806451613,62
gpt-5.4,L3,0.4025423728813559,236
gpt-5.4,L4,0.36046511627906974,86
gpt-5.4,L5,0.32432432432432434,74
gpt-5.5,L1,0.056338028169014086,142
gpt-5.5,L2,0.3225806451612903,62
gpt-5.5,L3,0.5466101694915254,236
gpt-5.5,L4,0.4069767441860465,86
gpt-5.5,L5,0.3918918918918919,74
huatuogpt-vision-7b,L1,0.11267605633802817,142
huatuogpt-vision-7b,L2,0.2903225806451613,62
huatuogpt-vision-7b,L3,0.3389830508474576,236
huatuogpt-vision-7b,L4,0.5348837209302325,86
huatuogpt-vision-7b,L5,0.3918918918918919,74
llava-med,L1,0.18309859154929578,142
llava-med,L2,0.4032258064516129,62
llava-med,L3,0.5508474576271186,236
llava-med,L4,0.4883720930232558,86
llava-med,L5,0.47297297297297297,74
moonshotai--Kimi-K2.5,L1,0.2112676056338028,142
moonshotai--Kimi-K2.5,L2,0.5967741935483871,62
moonshotai--Kimi-K2.5,L3,0.7457627118644068,236
moonshotai--Kimi-K2.5,L4,0.7441860465116279,86
moonshotai--Kimi-K2.5,L5,0.7162162162162162,74
moonshotai--Kimi-K2.6,L1,0.11971830985915492,142
moonshotai--Kimi-K2.6,L2,0.5645161290322581,62
moonshotai--Kimi-K2.6,L3,0.6271186440677966,236
moonshotai--Kimi-K2.6,L4,0.6511627906976745,86
moonshotai--Kimi-K2.6,L5,0.6621621621621622,74
