tag,model,input,params_b,arm,n,n_pairs,n_text_items,acc,auc_gold,auc_gold_lo,auc_gold_hi,auc_pair,auc_pair_lo,auc_pair_hi,auc_text,auc_text_lo,auc_text_hi
smolvlm,SmolVLM2-2.2B,montage,2.2,sighted,1368,363,182,50.0,0.4840912588488766,0.4610523122404189,0.507058828908124,0.38980716253443526,0.32882239382239387,0.4534904485049833,0.4896701703515767,0.39465096112154935,0.5939571890513942
qwen3b,Qwen2.5-VL-3B,montage,3,sighted,1368,363,182,50.0,0.4970065575732704,0.4722631415315086,0.5213868561716155,0.5385674931129476,0.4965022566086396,0.577985235091743,0.4945028391929443,0.41048848918098313,0.5860034305317324
qwen7b,Qwen2.5-VL-7B,montage,7,sighted,1368,363,182,50.0,0.4802428525016244,0.45798969488068414,0.5046323494054072,0.7754820936639119,0.7265407986111111,0.8233382352941176,0.5130482058716926,0.4298968481359299,0.5880571630768527
internvl,InternVL3-8B,montage,8,sighted,1368,363,182,50.1,0.49168440716801753,0.46901116851786834,0.5164136964264744,0.8553719008264463,0.8100681187087817,0.8992248062015504,0.5288751963271717,0.4318627441686048,0.6096245775935836
qwen3vl,Qwen3-VL-8B,montage,8,sighted,1368,363,182,48.7,0.4901315789473684,0.4686213329818346,0.513321756430121,0.8911845730027548,0.8565217391304348,0.9251707375863731,0.5251902863356288,0.4261327399380805,0.6143641510160098
internvl14,InternVL3-14B,montage,14,sighted,1368,363,182,50.1,0.5217278393351801,0.5004927511139879,0.5445643099004487,0.7865013774104683,0.7461475409836066,0.829171626984127,0.5120816721034191,0.4223922590236965,0.5842770869068038
qwen32b,Qwen2.5-VL-32B,montage,32,sighted,1368,363,182,50.6,0.5135768270578982,0.4926825051881308,0.5349309786467089,0.8526170798898072,0.8108083976833977,0.8941605839416058,0.504409810317748,0.4245210230124023,0.5955715841623318
llavaov,LLaVA-OneVision-7B,montage,7,sighted,1368,363,182,49.5,0.48793966519612875,0.4662162210827498,0.5114352141919057,0.6101928374655647,0.5620437956204379,0.6591029980657639,0.5161894406185816,0.43286585902695845,0.5922393455822682
idefics3,Idefics3-8B,montage,8,sighted,1368,363,182,50.0,0.5108826220033514,0.4902622345511723,0.5315549183403385,0.8787878787878788,0.8320610687022901,0.9236124363867685,0.4621239579557811,0.3623052798456024,0.5690578850944704
pixtral,Pixtral-12B,montage,12,sighted,1368,363,182,51.0,0.5063609315686878,0.48532075380183093,0.528712677261327,0.5482093663911846,0.49137743628185904,0.6044866393837265,0.4876766944545125,0.40946211973161356,0.5794569713478611
m3d,M3D-LaMed-Phi3-4B,native,4,sighted,1368,363,182,49.9,0.474644976232003,0.4544392003348204,0.4940902963086368,0.4696969696969697,0.40195640756302525,0.5347933251684017,0.49770448230035036,0.39894003796682953,0.5936314392620954
m3dllama,M3D-LaMed-Llama2-7B,native,7,sighted,1368,363,182,50.1,0.4806660596422831,0.4600982254786751,0.5007150432068658,0.418732782369146,0.3467662560325121,0.4880047244094488,0.5085175788329105,0.3890061535366835,0.5993711484593837
med3dvlm,Med3DVLM-7B,native,7,sighted,1368,363,182,50.0,0.469545116446086,0.4483149511805213,0.4909631136512276,0.7369146005509641,0.6818097643097643,0.7954586927670869,0.4977648906608675,0.38492972271797765,0.6068614380282845
qwen72b,Qwen2.5-VL-72B,montage,72,plain,1368,363,182,49.2,0.5007224445128415,0.4787568245453168,0.5221920179942304,0.9586776859504132,0.9346027131782946,0.9829059829059829,0.5205388425758125,0.43107064285987723,0.6092412177108834
qwen72b,Qwen2.5-VL-72B,montage,72,identified,1368,363,182,50.0,0.5373458927533258,0.5157205081374049,0.5590841180403487,0.8415977961432507,0.7948694029850746,0.8889050387596897,0.5335870484475052,0.44152789882101945,0.6312870147129498
