model,organ,arm,n,acc,ci_lo,ci_hi,modal_share
Qwen2.5-VL-32B,Lung,full,394,58.4,56.3,60.4,57.1
Qwen2.5-VL-32B,Lung,roi_only,394,50.3,48.7,51.8,93.1
Qwen2.5-VL-32B,Lung,roi_masked,394,56.6,53.6,59.6,64.5
Qwen2.5-VL-32B,Lung,zero,394,50.0,50.0,50.0,100.0
Qwen2.5-VL-32B,Colon,full,600,56.8,55.0,58.7,59.5
Qwen2.5-VL-32B,Colon,roi_only,600,52.5,51.3,53.8,79.8
Qwen2.5-VL-32B,Colon,roi_masked,600,57.5,55.7,59.3,62.8
Qwen2.5-VL-32B,Colon,zero,600,50.0,50.0,50.0,100.0
Qwen2.5-VL-32B,Pancreas,full,600,56.2,54.2,58.4,51.2
Qwen2.5-VL-32B,Pancreas,roi_only,600,50.2,49.2,51.2,77.2
Qwen2.5-VL-32B,Pancreas,roi_masked,600,56.3,54.3,58.4,54.7
Qwen2.5-VL-32B,Pancreas,zero,600,50.0,50.0,50.0,100.0
Qwen2.5-VL-32B,Liver,full,600,54.3,52.7,56.1,62.3
Qwen2.5-VL-32B,Liver,roi_only,600,49.8,49.2,50.4,96.5
Qwen2.5-VL-32B,Liver,roi_masked,600,54.3,52.6,56.1,62.0
Qwen2.5-VL-32B,Liver,zero,600,50.0,50.0,50.0,100.0
InternVL3-8B,Lung,full,394,60.4,57.4,63.5,56.6
InternVL3-8B,Lung,roi_only,394,53.8,51.9,55.6,69.3
InternVL3-8B,Lung,roi_masked,394,60.4,56.6,64.5,58.1
InternVL3-8B,Lung,zero,394,50.0,50.0,50.0,100.0
InternVL3-8B,Colon,full,600,58.7,56.2,61.5,77.0
InternVL3-8B,Colon,roi_only,600,52.5,51.2,53.9,77.8
InternVL3-8B,Colon,roi_masked,600,60.8,58.1,63.9,64.8
InternVL3-8B,Colon,zero,600,50.0,50.0,50.0,100.0
InternVL3-8B,Pancreas,full,600,54.8,52.7,57.1,70.5
InternVL3-8B,Pancreas,roi_only,600,52.7,51.2,54.1,82.3
InternVL3-8B,Pancreas,roi_masked,600,58.3,55.8,60.9,54.7
InternVL3-8B,Pancreas,zero,600,50.0,50.0,50.0,100.0
InternVL3-8B,Liver,full,600,57.7,55.7,59.7,70.7
InternVL3-8B,Liver,roi_only,600,52.5,51.1,54.1,74.2
InternVL3-8B,Liver,roi_masked,600,58.2,55.8,60.7,54.5
InternVL3-8B,Liver,zero,600,50.0,50.0,50.0,100.0
