model,tag,background,n,acc,lo,hi,modal,modal_share
Qwen2.5-VL-7B,qwen7b,grey,300,25.7,20.5,31.2,15,55.0
Qwen2.5-VL-7B,qwen7b,ct,300,25.3,20.3,30.6,15,55.3
Qwen2.5-VL-7B,qwen7b,real,300,26.3,21.4,31.6,15,57.3
InternVL3-8B,internvl,grey,300,26.7,21.4,32.0,35,87.0
InternVL3-8B,internvl,ct,300,26.0,21.2,30.9,15,52.0
InternVL3-8B,internvl,real,300,27.7,22.7,32.7,15,48.3
Qwen3-VL-8B,qwen3vl,grey,300,25.7,20.9,30.5,15,51.0
Qwen3-VL-8B,qwen3vl,ct,300,25.0,20.1,30.1,25,56.3
Qwen3-VL-8B,qwen3vl,real,300,23.7,19.0,28.6,25,67.0
Qwen2.5-VL-32B,qwen32b,grey,300,28.3,23.1,33.8,15,100.0
Qwen2.5-VL-32B,qwen32b,ct,300,28.3,23.1,33.8,15,98.7
Qwen2.5-VL-32B,qwen32b,real,300,28.3,23.1,33.8,15,99.3
